Gender,Year,Stream,Reasons,Performance,StudyMode,StudyHours,ResourcesUsed,Cocurriculars,ExtracurricularFreq,CareerGoals,Skills,Class,FirstChoice,Satisfaction,Rating,Strengths,Challenges,Opportunities,Threats,Switch,Recommendation
Female,Third year,Non-STEM,"Career Opportunities, Flexibility in Career Options",Between 60 and 69.99%,"Self-study, Group discussions",3 to 5 hours,"Seeking guidance from professors/peers, Using additional online learning resources, Work harder independently","Arts & Creativity, Social and Community Service, Internship",Sometimes,"Research/Academia, Freelancing/Independent Work","Creativity, Problem-solving, Communication, Networking",Upper Middle Class,no,Poorly,4,"High earning potential, Flexibility and creativity, Job security","Heavy Workload, High Competition",Interdisciplinary applications,Lack of funding or resources,yes,yes
Male,First year,STEM,Career Opportunities,Between 60 and 69.99%,Self-study,Less than 3 hours,Using additional online learning resources,Sports and Fitness,Sometimes,Entrepreneurship,Creativity,Lower Middle Class,yes,Neutral,4,Job security,High Competition,Technological advancements,Job automation,no,yes
Male,First year,STEM,"Passion/Interest, Career Opportunities, Financial stability, Flexibility in Career Options",Between 60 and 69.99%,"Self-study, Online Learning Resources",3 to 5 hours,"Seeking guidance from professors/peers, Using additional online learning resources, Work harder independently","Sports and Fitness, Internship",Sometimes,"Industry (Corporate/Government Jobs), Research/Academia","Technical skills, Problem-solving, Communication",Lower Middle Class,yes,Neutral,4,"Flexibility and creativity, Personal growth","Heavy Workload, High Competition, Lack of Industry Recognition","Technological advancements, Interdisciplinary applications, Growing Demand in the Job Market","Job automation, Market saturation, Economic downturns",no,yes
Female,Final year,Non-STEM,"Passion/Interest, Career Opportunities, Flexibility in Career Options",Between 60 and 69.99%,"Self-study, Online Learning Resources",Less than 3 hours,"Seeking guidance from professors/peers, Using additional online learning resources, Work harder independently","Sports and Fitness, Arts & Creativity, Social and Community Service",Regularly,"Industry (Corporate/Government Jobs), Research/Academia, Freelancing/Independent Work","Technical skills, Creativity, Problem-solving, Communication, Networking",Upper Middle Class,yes,Neutral,3.5,"High earning potential, Flexibility and creativity, Contribution to society, Job security, Personal growth","High Competition, Lack of Industry Recognition","Interdisciplinary applications, Growing Demand in the Job Market","Lack of funding or resources, Job automation",no,yes
Male,Previous year,STEM,"Career Opportunities, Flexibility in Career Options",Between 50 and 59.99%,Self-study,3 to 5 hours,"Seeking guidance from professors/peers, Work harder independently",Sports and Fitness,Sometimes,Industry (Corporate/Government Jobs),"Technical skills, Creativity, Problem-solving, Communication, Networking",Lower Middle Class,yes,Well,3,"High earning potential, Flexibility and creativity, Contribution to society, Personal growth","Limited Job Opportunities, Lack of Industry Recognition","Technological advancements, Growing Demand in the Job Market",Lack of funding or resources,maybe,maybe
Female,First year,Non-STEM,"Career Opportunities, Family Influence, Flexibility in Career Options",Between 60 and 69.99%,"Self-study, Tutoring sessions, Online Learning Resources",3 to 5 hours,Using additional online learning resources,Arts & Creativity,Sometimes,"Industry (Corporate/Government Jobs), Entrepreneurship","Problem-solving, Communication, Networking",Lower Middle Class,yes,Neutral,4,"High earning potential, Contribution to society","Heavy Workload, Limited Job Opportunities, High Competition","Technological advancements, Interdisciplinary applications, Growing Demand in the Job Market","Market saturation, Economic downturns",no,yes
Male,Third year,Non-STEM,Career Opportunities,Between 60 and 69.99%,Tutoring sessions,Less than 3 hours,Using additional online learning resources,"Sports and Fitness, Social and Community Service",Sometimes,Industry (Corporate/Government Jobs),"Technical skills, Problem-solving",Upper Middle Class,yes,Very well,3,"High earning potential, Flexibility and creativity","Heavy Workload, High Competition",Growing Demand in the Job Market,"Lack of funding or resources,",no,yes
Male,First year,STEM,"Passion/Interest, Career Opportunities",More than 70%,"Self-study, Online Learning Resources",Less than 3 hours,Using additional online learning resources,Sports and Fitness,Rarely,Industry (Corporate/Government Jobs),"Technical skills, Problem-solving, Networking",Lower Middle Class,yes,Neutral,3,High earning potential,Limited Job Opportunities,Technological advancements,Job automation,no,yes
Male,Third year,Non-STEM,Career Opportunities,Between 60 and 69.99%,Self-study,Less than 3 hours,Seeking guidance from professors/peers,Internship,Regularly,Entrepreneurship,Communication,Lower Middle Class,yes,Very poorly,2.5,Flexibility and creativity,"Limited Job Opportunities, High Competition",Interdisciplinary applications,Economic downturns,yes,no
Female,Second year,Non-STEM,"Passion/Interest, Financial stability, Flexibility in Career Options",More than 70%,"Tutoring sessions, Online Learning Resources",3 to 5 hours,Using additional online learning resources,Sports and Fitness,Sometimes,"Industry (Corporate/Government Jobs), Entrepreneurship","Technical skills, Networking",Lower Middle Class,yes,Neutral,4,"High earning potential,","Heavy Workload, Lack of Industry Recognition","Interdisciplinary applications,","Economic downturns, Lack of funding or resources",no,maybe
