"","Dim 1","Dim 2","Dim 3","Dim 4","Dim 5"
"Female",-0.59842973617721,0.201356980251083,-0.0777724311509126,0.0245057393696977,-0.170626860226641
"Male",0.580957335120941,-0.195477944331342,0.0755017032340977,-0.023790243329706,0.165645054088636
"Final year",0.389758512387468,-0.560492188896475,1.15655411399509,0.847279970266775,0.292359617252506
"First year",-0.417204768328069,-0.16351099934076,0.0222114568278939,-0.339905951501142,-1.43926449223927
"Fourth year",0.90106508249739,-0.422347627759364,0.889944410667528,0.158775380397498,0.479870424896357
"Previous year",-0.118179659086266,-0.423119675725182,-0.0732647865275075,0.623213147264985,-0.0917257209801887
"Second year",-1.21915706205155,-0.0836903329947002,-0.310051638424026,-0.456850848837546,0.651945210103349
"Third year",0.460407512236932,0.18995309250939,-0.0867765996786946,0.0915410984802186,0.130735313579426
"Non-STEM",-0.153891650944589,0.108961314198723,0.0132130034149904,-0.252038907064224,0.0959409060883542
"STEM",0.42320204009762,-0.299643614046491,-0.0363357593912235,0.693106994426618,-0.263837491742974
"Career Opportunities",0.648373726172649,-0.680869964323405,0.384399320833656,0.242964495266603,-0.228170748066036
"Career Opportunities, Family Influence",-0.583774312399908,1.73279664291551,-2.09300930551603,0.336862553310802,-0.257567866043175
"Career Opportunities, Family Influence, Financial stability",0.161811868601674,0.247927540324448,-0.591563089988925,-0.693901759949692,1.42691848587959
"Career Opportunities, Family Influence, Flexibility in Career Options",-1.54005803566704,-0.63666570061247,0.218687895280217,-1.06997558680973,-1.05148957362913
"Career Opportunities, Flexibility in Career Options",-0.948791619907539,2.9397792272442,2.17475757536046,0.679467635174663,0.816035081546513
"Family Influence",0.882422756431494,0.607509886260377,0.89366813443902,-0.431283669098763,-1.76946620902761
"Family Influence, Financial stability, Flexibility in Career Options",-1.70852046075567,0.266727873926031,-0.196432332994662,-1.06025076361002,-2.17444036541923
"Financial stability",0.759236396342991,0.439709922335858,0.300938330704763,-0.425074661298677,0.346846160334468
"Financial stability, Flexibility in Career Options",0.759498663210974,0.696126966181088,0.305215876364799,-1.33202241745014,0.763483937904273
"Flexibility in Career Options",0.662573624711308,0.29422244229725,-1.54280446782714,-0.162078802300587,2.2913588091573
"Passion/Interest",0.652708985296522,0.0528815729136481,-0.148750795908285,-0.336595669041803,0.136774072271926
"Passion/Interest, Career Opportunities",-1.19231946914539,-0.15411564329411,-0.152722039755597,0.431948313225329,0.039872900764251
"Passion/Interest, Career Opportunities, Family Influence",0.433315028172583,-0.152743945919426,-0.545385740064997,1.02475974839131,-0.135701716063109
"Passion/Interest, Career Opportunities, Financial stability",-0.213560657441925,-0.722945554425665,-0.267695676351296,1.05803772129758,-0.0926554453490504
"Passion/Interest, Career Opportunities, Financial stability, Flexibility in Career Options",-0.778091704612491,-0.993348599735433,0.730522152255854,1.62390783854333,0.130514365775363
"Passion/Interest, Career Opportunities, Flexibility in Career Options",-0.823890758095142,-0.675566374440371,0.140653348821291,1.15376676537755,0.325295702610207
"Passion/Interest, Family Influence, Financial stability",-0.482027687814822,-0.962373323764459,-0.205824791060942,-2.07107105044702,1.68230704259208
"Passion/Interest, Financial stability, Flexibility in Career Options",-0.675700637764339,-0.540154814110013,-0.851344074704868,-0.643868691239071,0.430229933517207
"Between 40 and 49.99%",-0.482027687814822,-0.962373323764459,-0.205824791060942,-2.07107105044702,1.68230704259208
"Between 50 and 59.99%",0.579101828416861,0.157836585637112,-0.280204002883384,-0.569635118997642,0.549775828152606
"Between 60 and 69.99%",-0.475739577633034,-0.0703435466800512,0.298857408285526,0.150575248367631,-0.110391482155058
"More than 70%",0.185485338009343,0.00391441064505251,-0.161360574881941,0.302749474022593,-0.325486289713279
"Group discussions",0.734839139303688,0.418492646662485,-0.344156536252773,-0.593587441065157,-1.48050283314444
"Online Learning Resources",0.994013249181875,-0.369628991474671,1.36221259539463,-0.716464702406877,-0.350374043429683
"Self-study",0.667001229763621,0.122938903963445,-0.259419415926507,-0.0990913466610035,0.0131688396437882
"Self-study, Group discussions",-0.807696313491697,1.35863006983879,0.819765409063406,-0.0584672417031101,0.38832340207342
"Self-study, Group discussions, Online Learning Resources",-0.192961771256651,-0.617761294434167,0.087143918176028,0.576894082951578,-0.36157486829676
"Self-study, Group discussions, Tutoring sessions, Online Learning Resources",1.42329176909813,-1.17322518465837,0.49172891633876,1.67390372750967,0.0807607892125753
"Self-study, Online Learning Resources",-0.553233585740543,-0.0723662564546244,-0.359493217894905,0.653294026467639,0.326468780520869
"Self-study, Tutoring sessions",0.734663261911262,-0.329119877666545,1.04901439200654,-0.0154288740150512,0.10720090231081
"Self-study, Tutoring sessions,",0.74596176264731,0.304423834874934,-2.0152264769742,-0.0614292882410598,2.88996962974196
"Self-study, Tutoring sessions, Online Learning Resources",-1.47147105982042,-0.283305531131835,0.0442626681657333,-0.312231254329062,-0.423748475494085
"Tutoring sessions",0.616278544955098,-0.779917943055117,0.393628793630866,0.0229594663742438,0.802554274926176
"Tutoring sessions, Online Learning Resources",-1.19761045192099,-0.277427940695836,-1.14645385578598,-1.77934179722297,-0.030549795472732
"3 to 5 hours",-0.394839452906327,-0.0154901272056789,0.476430082919522,-0.190343686870801,0.0674945131970877
"5 to 7 hours",0.301908816275485,-0.151172962950799,0.805994773007434,-0.474466161062186,0.237017717173616
"Less than 3 hours",0.175302134035823,0.0969314922830644,-0.438227079861173,0.105218166788827,-0.115571315837801
"More than 7 hours",0.516569245599195,-1.0281097186934,0.647993127366554,1.05648469265686,0.667681742337811
"Joining study groups",0.901528039493943,-0.260871123911121,-0.293190002034698,-0.377098834349503,-0.787854670905321
"Seeking guidance from professors/peers",0.658417847096308,0.325288504837758,-0.359746318712989,0.275878444968344,-1.28323691317025
"Seeking guidance from professors/peers, Using additional online learning resources",-0.00882022521629088,-0.508121745472791,-0.0763632017874812,0.672116072119963,0.220428355404744
"Seeking guidance from professors/peers, Using additional online learning resources, Work harder independently",-1.24580379543589,0.751353037619485,1.21318890427431,1.22167111720218,0.74033608582272
"Seeking guidance from professors/peers, Using additional online learning resources, Work harder independently, Joining study groups",1.2892740904457,0.187990392260095,-0.867310693509096,1.28868384462433,-0.579871378206264
"Seeking guidance from professors/peers, Work harder independently",0.864605056573105,0.694075016366064,-0.954496403286062,1.34350203965218,-0.316470505103248
"Using additional online learning resources",0.0836690726919924,-0.132406471277677,0.0891074303121994,-0.495856485699589,-0.0797144138937258
"Using additional online learning resources, Work harder independently",-0.563061769078664,-0.047729905133285,-0.315728275262963,0.243819692834971,0.535214236256349
"Using additional online learning resources, Work harder independently, Joining study groups",-1.6263803465033,-0.33672361106781,-0.329825729345265,-1.06774277690563,-1.06174485046257
"Work harder independently",1.01239703417483,-0.1873746371485,0.21039423400534,-0.28123571280147,0.562416912525557
"Work harder independently, Joining study groups",1.20031408602826,-0.153188659274012,-0.337204874729344,0.408102071381766,0.957326086949045
"....",1.0315211704472,0.153733122979074,-1.09134913961141,0.703630779214773,-0.240978873324436
"Arts & Creativity",-0.499763356027999,-0.520595158510402,0.33576344462603,-0.541538359194554,-0.168837918183451
"Arts & Creativity,",-0.913400726206714,-0.0613363448851835,-0.345131989894342,0.1128920814463,0.198578101454828
"Arts & Creativity, Internship",-0.37368152886915,-0.371271174994134,-0.653824926567792,1.50159943918117,-0.310215700698496
"Arts & Creativity, Social and Community Service",-1.51454351309048,0.477209900118438,-0.0270497081532717,-0.426367527171843,0.169809664244267
"Arts & Creativity, Social and Community Service,",-0.24046446655434,0.282003205543208,-1.17285473220334,1.89400496307716,-1.34492816981336
"Arts & Creativity, Social and Community Service, Internship",-1.06801482993956,4.90531516712433,3.61672534071837,1.13672920956301,0.849269179814291
"Audit",-1.48076686557196,1.35278978145219,0.169913823199678,-0.470901889839072,-0.999130358655315
"Diploma",0.0353658053263738,0.885446508813335,-0.907252736203524,-0.611738402712091,2.21833404838677
"Internship",-0.533451757105718,-0.356929692697664,0.274798399920468,-0.133843505339766,0.110669546124649
"Non",-1.00939124092532,0.349901592548893,-1.49581868683211,-1.67169430151838,1.51348407609722
"None",0.302824097215992,0.856431319507483,0.580044500129219,-1.39160440539658,1.27248297054487
"Nothing",0.869473172466194,-0.0899094281401282,3.37085021253085,-0.894543561175508,-1.09964704153
"Social and Community Service",1.14404753754368,-0.5636459847076,0.51041906072682,-0.946818635891448,-0.143719060984002
"Social and Community Service, Internship",1.22929641185168,-0.397640137986451,-0.745300593287453,1.08468810910751,-0.130801932857088
"Sports and Fitness",0.539786191920064,-0.00291468348710771,-0.227614032643237,-0.146453245909252,-0.31088000789657
"Sports and Fitness,",0.157133927625724,-0.30976417187405,-0.281821328189613,0.123587324515893,-0.27980402165376
"Sports and Fitness, Arts & Creativity",-0.385542268130113,1.52324272045,-1.89791992431751,0.344778055318686,-0.122579649044039
"Sports and Fitness, Arts & Creativity, Internship",1.33936759668482,1.69621596857052,-1.05918851959826,0.445930390036167,0.526134918038319
"Sports and Fitness, Arts & Creativity, Social and Community Service",-0.814995763519964,-0.37565757589812,0.382996688901861,2.80247808646104,0.579715834014345
"Sports and Fitness, Internship",0.157797766720367,-0.982654968032539,0.219955752006902,1.28820551429292,0.432239884088218
"Sports and Fitness, Social and Community Service",0.295955761456605,-0.757508752704001,-0.172237213089914,0.613291649103365,0.453437782947796
"Never",-0.0594179416331287,0.40663192246763,-0.709969149700913,-1.17438525639116,1.13375797170493
"Rarely",-0.0654994820532106,-0.280997750246826,0.464005382056712,-0.437729104020049,0.478974852358214
"Regularly",0.675080938158518,-0.217700446817892,0.0605359349662074,0.336279880301479,0.348530428984946
"Sometimes",-0.335810570983724,0.201358493252374,-0.160869571702867,0.185685353702022,-0.581136905326112
"Business",2.29514182876332,-3.05680374834746,2.01874759046946,2.41878370095902,1.13870746729249
"Entrepreneurship",0.704754157993376,0.0439942596992335,0.28133110124627,-0.670792770741623,-0.987932109738486
"Entrepreneurship, Freelancing/Independent Work",0.966100119792929,-0.0235376281784391,-0.838430148896301,-0.669896330658142,0.533001894288492
"Freelancing/Independent Work",0.495797348839307,0.273819657141875,-0.597960449533014,-0.363377830419646,1.09413716798799
"Industry (Corporate/Government Jobs)",0.354542515780347,-0.374254476320564,0.211325672554297,0.040923240780437,0.0645491110037293
"Industry (Corporate/Government Jobs), As a librarian",0.0353658053263738,0.885446508813335,-0.907252736203524,-0.611738402712092,2.21833404838677
"Industry (Corporate/Government Jobs), Entrepreneurship",-1.28094646107853,-0.100841747990555,-0.355650682722549,-1.07809542840951,-0.484597724586054
"Industry (Corporate/Government Jobs), Entrepreneurship, Freelancing/Independent Work",-2.16591622973906,-0.139175422991338,0.699816048638467,-0.328596637665737,0.99182839694459
"Industry (Corporate/Government Jobs), Freelancing/Independent Work",0.396409690214419,1.04090823834621,-1.30120005131315,0.0256755259474237,0.759638731186743
"Industry (Corporate/Government Jobs), Research/Academia",-0.490536422254004,-0.469505853080877,0.27633818912802,0.364055486772951,0.689695712951231
"Industry (Corporate/Government Jobs), Research/Academia, Entrepreneurship, Freelancing/Independent Work",1.25960274079422,1.37873528748181,-1.3305484265309,1.43699962633083,-0.4960369213381
"Industry (Corporate/Government Jobs), Research/Academia, Freelancing/Independent Work",-0.506925729150741,-0.141541262230725,-0.2549601416437,2.21976726392426,-0.24415505069979
"Research/Academia",-0.173645457269599,0.531344359659776,-0.377042060707284,0.21125218717515,-1.19754447097425
"Research/Academia, Entrepreneurship, Freelancing/Independent Work",-0.112225677631776,-1.21339398023681,0.421905091545374,1.02559091483107,-1.03555741291317
"Research/Academia, Freelancing/Independent Work",-1.06801482993956,4.90531516712433,3.61672534071837,1.13672920956301,0.849269179814291
"Communication",0.699492614747808,0.0670015426935154,0.160129743798036,-0.499425824607976,-0.815848124530993
"Communication, Management",0.00923140860935962,0.138864365174473,0.49230419774876,-0.159960466636134,-0.697286144678095
"Communication, Networking",-0.096754443439648,2.19312773445211,-2.71275254911531,0.309912427124311,-0.00909195190694479
"Creativity",0.805425506812791,-0.400585011185339,0.290342487958243,-0.517102586374026,-0.987608658586938
"Creativity, Communication, Networking",-1.62618206343841,-0.490231039827246,-0.917879546441845,-1.54865500980443,0.738124190658639
"Creativity, Problem-solving",-1.35913268662802,-1.12691072561232,0.461128093062403,-0.0872541285070581,-1.07346704851107
